community,grid_id,ak_grid_id,grid_name,connection_year,termination_year
Akhiok,1,AK-GR-001,Akhiok_grid,0,9999
Akiachak,2,AK-GR-002,Akiachak_grid,0,9999
Akiak,3,AK-GR-003,Akiak_grid,0,9999
Akutan,4,AK-GR-004,Akutan_grid,0,9999
Allakaket,5,AK-GR-005,Allakaket_grid,0,9999
Alatna,5,AK-GR-005,Allakaket_grid,0,9999
Bettles,7,AK-GR-007,Bettles_grid,0,9999
Evansville,7,AK-GR-007,Bettles_grid,0,9999
Eagle,9,AK-GR-009,Eagle_grid,0,9999
Eagle Village,9,AK-GR-009,Eagle_grid,0,9999
Healy Lake,11,AK-GR-011,HealyLake_grid,0,9999
Northway,12,AK-GR-012,Northway_grid,0,9999
Northway Village,12,AK-GR-012,Northway_grid,0,9999
Northway Junction,12,AK-GR-012,Northway_grid,0,9999
Cordova,14,AK-GR-014,Cordova_grid,1990,9999
Eyak,14,AK-GR-014,Cordova_grid,1990,9999
Tok,15,AK-GR-015,Tok_grid,1975,9999
Tanacross,15,AK-GR-015,Tok_grid,1975,9999
Dot Lake,15,AK-GR-015,Tok_grid,1975,9999
Dot Lake Village,15,AK-GR-015,Tok_grid,1975,9999
Tetlin,15,AK-GR-015,Tok_grid,2008,9999
Craig,23,AK-GR-023,PrinceofWalesIs_grid,1987,9999
Klawock,23,AK-GR-023,PrinceofWalesIs_grid,1987,9999
Thorne Bay,23,AK-GR-023,PrinceofWalesIs_grid,1999,9999
Kasaan,23,AK-GR-023,PrinceofWalesIs_grid,1999,9999
Hollis,23,AK-GR-023,PrinceofWalesIs_grid,2004,9999
Hydaburg,23,AK-GR-023,PrinceofWalesIs_grid,2006,9999
Coffman Cove,23,AK-GR-023,PrinceofWalesIs_grid,2011,9999
Naukati Bay,23,AK-GR-023,PrinceofWalesIs_grid,2015,9999
Slana,26,AK-GR-026,Slana_grid,0,9999
Chistochina,26,AK-GR-026,Slana_grid,2010,9999
Mentasta Lake,26,AK-GR-026,Slana_grid,2012,9999
Haines,32,AK-GR-032,Haines_grid,1993,9999
Covenant Life,32,AK-GR-032,Haines_grid,1993,9999
Klukwan,32,AK-GR-032,Haines_grid,1993,9999
Chilkat Valley,32,AK-GR-032,Haines_grid,1993,9999
Bethel,34,AK-GR-034,Bethel_grid,1980,9999
