ak_plant_id,eia_plant_id,pce_reporting_id,plant_name,operator_ak_operator_id,eia_operator_id,operator_operator_name,intertie_current_intertie_id,intertie_current_intertie_name,combined_heat_power,grid_primary_voltage_kv,grid_primary_voltage2_kv,phases,latitude,longitude,notes
P251,,331005.0,Adak,AK-OP-088,,TDX Adak Generating LLC,186-0000,Adak_grid,False,2.4,,,51.8725,-176.62861,
P107,,331750.0,Atka,AK-OP-011,,"Atka, City of",095-0000,Atka_grid,True,7.2,,3.0,52.19611,-174.20056,
P261,,332740.0,Nikolski,AK-OP-096,,Umnak Power Company,193-0000,Nikolski_grid,True,7.2,,,52.93806,-168.86778,
P271,54305.0,,Westward Seafoods,AK-OP-128,20523.0,Westward Seafoods Inc,195-0000,Unalaska_grid,True,4.16, ,3.0,53.858508,-166.55288,
P264,7503.0,,Unalaska Power Module,AK-OP-097,19454.0,"Unalaska, City of",195-0000,Unalaska_grid,True,4.16, ,3.0,53.863993,-166.512591,
P291,,332860.0,Unalaska,AK-OP-097,19454.0,"Unalaska, City of",195-0000,Unalaska_grid,True,,,3.0,53.863993,-166.512591,Inlcudes EIA Unalaska Power Module and Dutch Harbor
P266,54422.0,,Unisea G 2,AK-OP-126,19553.0,Unisea Inc,195-0000,Unalaska_grid,False,12.4, ,,53.8796,-166.5532,
P263,7502.0,,Dutch Harbor,AK-OP-097,19454.0,"Unalaska, City of",195-0000,Unalaska_grid,True,4.16, ,3.0,53.892459,-166.538185,
P5,,331040.0,Akutan,AK-OP-004,,"Akutan, City of",004-0000,Akutan_grid,False,7.2,,3.0,54.13556,-165.77306,
P141,,331970.0,False Pass,AK-OP-032,,"False Pass, City of",113-0000,False Pass_grid,True,7.2,,,54.85394,-163.40883,
P177,7493.0,332070.0,King Cove,AK-OP-043,9897.0,"King Cove, City of",131-0000,King Cove_grid,True,0.48, ,3.0,55.061683,-162.3103,
P201,6302.0,,Purple Lake,AK-OP-108,12385.0,Metlakatla Power & Light,225_0000,Metlakatla_grid,False,12.47, ,3.0,55.091263,-131.544978,
P200,7168.0,,Chester Lake,AK-OP-108,12385.0,Metlakatla Power & Light,225_0000,Metlakatla_grid,False,12.47, ,3.0,55.116879,-131.545879,
P199,7112.0,,Centennial,AK-OP-108,12385.0,Metlakatla Power & Light,225_0000,Metlakatla_grid,False,12.47, ,3.0,55.121433,-131.560267,
P143,,331980.0,Cold Bay,AK-OP-034,,G & K Inc,114-0000,Cold Bay_grid,False,7.2,,,55.18583,-162.72111,
P23,423.0,331150.0,Hydaburg,AK-OP-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,False,2.4, ,3.0,55.204937,-132.821435,
P176,58977.0,,Whitman,AK-OP-131,10210.0,Ketchikan Public Utilities,217-2009,SEAPA_grid,False,34.5, ,3.0,55.328056,-131.530833,
P295,1.0,332540.0,Sand Point,AK-OP-089,63560.0,"Sand Point Generating, LLC",187-0000,Sand Point_grid,True,7.2,,3.0,55.339722,-160.497222,
P172,84.0,,Ketchikan,AK-OP-131,10210.0,Ketchikan Public Utilities,217-2009,SEAPA_grid,False,34.5, ,3.0,55.344641,-131.633425,
P173,85.0,,S W Bailey,AK-OP-131,10210.0,Ketchikan Public Utilities,217-2009,SEAPA_grid,False,34.5, ,3.0,55.357397,-131.69696,
P171,6580.0,,Beaver Falls,AK-OP-131,10210.0,Ketchikan Public Utilities,217-2009,SEAPA_grid,False,34.5, ,3.0,55.37975,-131.470269,
P174,6581.0,,Silvis,AK-OP-131,10210.0,Ketchikan Public Utilities,217-2009,SEAPA_grid,False,34.5, ,3.0,55.381402,-131.517758,
P170,59027.0,,Mahoney Lake Hydroelectric,AK-OP-160,60223.0,Ketchikan Electric Company,217-2009,SEAPA_grid,False,34.5,,3.0,55.419444,-131.537778,
P15,7752.0,,Black Bear Lake,AK-OP-005,219.0,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,False,34.5, ,3.0,55.476472,-133.14772,"Included in PCE reporting as ""Purchased Power"""
