sales_reporting_id,reporting_name,operator_ak_operator_id,eia_operator_id,pce_reporting_id,rca_cpcn,operator_operator_name,intertie_current_intertie_id,intertie_current_intertie_name,index_community,gnis_feature_id,latitude,longitude,aea_energy_region,communities_reported,notes
SR-1,Alaska Electric Light&Power Co,AK-OP-133,213,,1,Alaska Electric Light&Power Co,222-0000,Juneau_grid,Juneau,1404263.0,58.3019444,-134.4197222,Southeast,"Juneau, Douglas, Greens Creek (Industrial)",
SR-10,TDX North Slope Generating Co,AK-OP-117,19277,,227,TDX North Slope Generating Co,224_0000,Deadhorse_grid,Deadhorse,1866941.0,70.2055556,-148.5116667,North Slope,Deadhorse,
SR-100,Koyuk,AK-OP-006,221,331420.0,169,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,Koyuk,1404981.0,64.9319444,-161.1569444,Bering Straits,Koyuk,
SR-101,Koyukuk,AK-OP-049, ,332140.0,687,"Koyukuk, City of",136-0000,Koyukuk_grid,Koyukuk,1404984.0,64.8802778,-157.7008333,Yukon-Koyukuk/Upper Tanana,Koyukuk,
SR-102,Kwethluk,AK-OP-050,9832,332150.0,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,Kwethluk,1405119.0,60.8122222,-161.4358333,Lower Yukon-Kuskokwim,Kwethluk,
SR-103,Kwigillingok,AK-OP-051,10491,332160.0,376,Kwigillingok Power Company,138-0000,Kwigillingok_grid,Kwigillingok,1405122.0,59.8644444,-163.1341667,Lower Yukon-Kuskokwim,Kwigillingok,
SR-104,Larsen Bay,AK-OP-052,10716,332170.0,353,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,Larsen Bay,1405216.0,57.54,-153.9786111,Kodiak,Larsen Bay,
SR-105,Levelock,AK-OP-053, ,332180.0,330,Levelock Electrical Coop,140-0000,Levelock_grid,Levelock,1405300.0,59.1141667,-156.8588889,Bristol Bay,Levelock,
SR-106,Lime Village,AK-OP-054, ,332190.0,570,Lime Village Electric Utility,141-0000,Lime Village_grid,Lime Village,1405351.0,61.3563889,-155.4355556,Lower Yukon-Kuskokwim,Lime Village,
SR-107,Lower Kalskag,AK-OP-006,221,331430.0,169,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,Lower Kalskag,1405763.0,61.5122222,-160.3580556,Lower Yukon-Kuskokwim,Lower Kalskag,
